                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5188,                 3.7709,                 1.4084,                0.01866,                0.61745,                0.09409,                0.04651,                  1.493,                 3.6297,                 1.3261,             0.00024543,             0.00024543,             0.00024543
                      2,                 1.5224,                 2.7746,                 1.3223,                0.66838,                0.15877,                0.20688,                0.12117,                  1.594,                 3.0009,                 1.4265,             0.00049665,             0.00049665,             0.00049665
                      3,                 1.4901,                 2.4059,                 1.3578,                 0.2965,                0.38448,                0.26926,                0.13867,                 1.6616,                 2.7942,                 1.4439,             0.00074451,             0.00074451,             0.00074451
                      4,                 1.5237,                 2.2224,                 1.3376,                0.24978,                0.41088,                0.27799,                0.14878,                 1.7043,                 2.7881,                 1.4895,               0.000891,               0.000891,               0.000891
                      5,                 1.5001,                  2.057,                 1.3351,                0.38373,                 0.4581,                0.40525,                0.21123,                 1.5929,                 2.3271,                 1.4797,               0.000891,               0.000891,               0.000891
                      6,                 1.4307,                 2.0389,                 1.3158,                0.50967,                 0.4428,                0.41881,                0.21229,                 1.6341,                 2.3494,                 1.5068,               0.000885,               0.000885,               0.000885
                      7,                 1.4312,                 1.9035,                 1.2957,                0.41341,                0.41041,                0.37155,                0.20829,                 1.6977,                 2.3582,                  1.529,               0.000879,               0.000879,               0.000879
                      8,                 1.4471,                 1.7515,                 1.2696,                 0.6092,                0.42968,                0.44991,                0.23714,                  1.621,                 2.1178,                 1.5042,               0.000873,               0.000873,               0.000873
                      9,                 1.4102,                 1.6953,                 1.2758,                0.66912,                0.51609,                 0.5436,                0.30563,                 1.5458,                 1.8129,                 1.3918,               0.000867,               0.000867,               0.000867
                     10,                   1.37,                 1.6372,                 1.2574,                0.57694,                0.49743,                0.50723,                0.29521,                 1.5617,                 1.9051,                 1.4426,               0.000861,               0.000861,               0.000861
                     11,                 1.3705,                 1.6335,                 1.2706,                0.58145,                0.47043,                0.52003,                0.28405,                  1.556,                 1.9209,                 1.4392,             0.00085501,             0.00085501,             0.00085501
                     12,                 1.3799,                 1.5667,                 1.2594,                0.66236,                0.51715,                0.58314,                0.32651,                 1.5664,                 1.8086,                 1.4385,             0.00084901,             0.00084901,             0.00084901
                     13,                 1.3701,                 1.5309,                 1.2403,                0.58132,                 0.4676,                0.49661,                0.28496,                  1.533,                 1.7658,                 1.3942,             0.00084301,             0.00084301,             0.00084301
                     14,                 1.3915,                 1.5095,                  1.255,                0.67245,                0.54124,                 0.5919,                 0.3549,                 1.5098,                 1.6408,                 1.3645,             0.00083701,             0.00083701,             0.00083701
                     15,                 1.3544,                 1.5254,                 1.2552,                0.68745,                0.55177,                0.60535,                0.33026,                 1.5958,                 1.6361,                 1.4309,             0.00083101,             0.00083101,             0.00083101
                     16,                 1.3181,                 1.4026,                  1.225,                0.71107,                0.55002,                0.62675,                0.35111,                 1.5519,                 1.6097,                 1.4274,             0.00082501,             0.00082501,             0.00082501
                     17,                 1.3183,                 1.3478,                 1.2087,                0.71299,                0.55588,                0.60631,                0.34674,                 1.5542,                 1.5671,                 1.4233,             0.00081901,             0.00081901,             0.00081901
                     18,                 1.2985,                 1.3036,                 1.2156,                0.65434,                0.59704,                0.63019,                0.36144,                 1.5495,                 1.5635,                 1.4064,             0.00081301,             0.00081301,             0.00081301
                     19,                 1.2898,                 1.2668,                 1.2127,                0.66898,                0.52919,                0.59243,                0.34158,                 1.6086,                 1.6307,                 1.4564,             0.00080701,             0.00080701,             0.00080701
                     20,                 1.3188,                 1.2745,                 1.2123,                0.65702,                0.61901,                0.63012,                0.37812,                 1.5335,                 1.4753,                 1.3889,             0.00080101,             0.00080101,             0.00080101
                     21,                 1.2719,                 1.2186,                 1.1986,                0.77272,                0.57414,                0.66546,                0.39634,                 1.5197,                 1.4307,                 1.3924,             0.00079501,             0.00079501,             0.00079501
                     22,                 1.2864,                 1.2243,                 1.2002,                0.71578,                0.58888,                0.63789,                0.37338,                 1.5191,                 1.4877,                  1.408,             0.00078901,             0.00078901,             0.00078901
                     23,                 1.2798,                 1.1952,                 1.2011,                 0.6688,                 0.6293,                0.65391,                0.38628,                  1.494,                 1.3646,                 1.3879,             0.00078301,             0.00078301,             0.00078301
                     24,                 1.2482,                 1.1451,                 1.1881,                0.74302,                0.62373,                0.68477,                0.40032,                 1.5175,                 1.4143,                 1.3927,             0.00077701,             0.00077701,             0.00077701
                     25,                 1.2354,                 1.1516,                 1.1709,                0.73717,                0.67252,                   0.72,                0.42293,                 1.5065,                 1.2701,                 1.3842,             0.00077101,             0.00077101,             0.00077101
                     26,                 1.2531,                 1.1055,                 1.1764,                0.77154,                0.58729,                0.66339,                0.38828,                   1.53,                 1.4324,                 1.4025,             0.00076501,             0.00076501,             0.00076501
